[14-Feb-2026 07:48:39] NOTICE: fpm is running, pid 1
[14-Feb-2026 07:48:39] NOTICE: ready to handle connections
172.18.0.6 -  14/Feb/2026:07:48:49 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:48:51 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:49:00 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:49:09 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:49:18 +0000 "GET /api/status" 500
[14-Feb-2026 07:51:16] NOTICE: fpm is running, pid 1
[14-Feb-2026 07:51:16] NOTICE: ready to handle connections
172.18.0.6 -  14/Feb/2026:07:51:17 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:51:24 +0000 "GET /api/status" 500
[14-Feb-2026 07:51:27] NOTICE: Finishing ...
[14-Feb-2026 07:51:27] NOTICE: exiting, bye-bye!
[14-Feb-2026 07:51:30] NOTICE: fpm is running, pid 1
[14-Feb-2026 07:51:30] NOTICE: ready to handle connections
172.18.0.6 -  14/Feb/2026:07:51:33 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:51:40 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:51:49 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:51:58 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:52:07 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:52:16 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:52:25 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:52:34 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:52:57 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:53:57 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:54:30 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:54:39 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:54:49 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:54:58 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:55:07 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:55:15 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:55:24 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:55:33 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:55:57 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:56:56 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:57:00 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:57:03 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:57:12 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:57:21 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:57:30 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:57:38 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:57:42 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:57:51 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:58:00 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:58:09 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:58:18 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:58:27 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:58:36 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:58:45 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:58:54 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:59:03 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:59:12 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:59:12 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:59:21 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:59:30 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:59:39 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:59:48 +0000 "GET /api/status" 500
172.18.0.6 -  14/Feb/2026:07:59:58 +0000 "GET /api/status" 500
